candle_end_time,open,high,low,close,amount,info
2017-07-13,3656.350,3690.480,3652.570,3686.920,125669549.000,
2017-07-14,3682.620,3703.090,3672.740,3703.090,105514005.000,
2017-07-17,3700.620,3716.470,3621.370,3663.560,178821600.000,
2017-07-18,3648.490,3667.540,3622.040,3667.180,124622056.000,
2017-07-19,3660.870,3731.050,3658.200,3729.750,182477787.000,
2017-07-20,3725.140,3750.190,3723.070,3747.880,142410039.000,
2017-07-21,3738.180,3751.690,3722.070,3728.600,117941226.000,
2017-07-24,3724.380,3755.190,3719.850,3743.470,134868722.000,
2017-07-25,3742.640,3752.160,3713.280,3719.560,121672059.000,
2017-07-26,3722.880,3738.530,3684.180,3705.390,136325210.000,
2017-07-27,3700.860,3716.690,3672.500,3712.190,145002904.000,
2017-07-28,3703.490,3725.540,3696.780,3721.890,111411392.000,
2017-07-31,3722.430,3746.520,3713.660,3737.870,148429039.000,
2017-08-01,3738.740,3770.400,3737.100,3770.380,152546539.000,
2017-08-02,3768.190,3784.350,3759.280,3760.850,172293383.000,
2017-08-03,3755.110,3766.350,3718.440,3727.830,146153944.000,
2017-08-04,3724.720,3738.730,3707.000,3707.580,157470060.000,
2017-08-07,3701.220,3730.780,3689.960,3726.790,124231530.000,
2017-08-08,3724.330,3737.330,3718.810,3732.210,137241928.000,
2017-08-09,3728.030,3739.000,3713.570,3731.040,124679989.000,
2017-08-10,3724.960,3746.860,3688.180,3715.920,130085128.000,
2017-08-11,3687.930,3700.490,3645.090,3647.350,150387421.000,
2017-08-14,3651.380,3698.370,3651.380,3694.680,115308451.000,
2017-08-15,3695.780,3719.290,3692.280,3706.060,106444857.000,
2017-08-16,3701.130,3707.140,3679.730,3701.420,104134141.000,
2017-08-17,3707.070,3722.620,3704.410,3721.280,108656251.000,
2017-08-18,3707.190,3733.490,3700.410,3724.670,96561705.000,
2017-08-21,3731.840,3744.260,3728.620,3740.990,100313073.000,
2017-08-22,3745.750,3758.290,3734.560,3752.300,100292856.000,
2017-08-23,3747.610,3772.460,3741.720,3756.090,104961573.000,
2017-08-24,3755.890,3765.710,3729.090,3734.650,89947372.000,
2017-08-25,3736.290,3795.970,3736.290,3795.750,129940900.000,
2017-08-28,3805.660,3866.940,3805.660,3842.710,185576325.000,
2017-08-29,3839.180,3847.930,3825.760,3834.540,128227070.000,
2017-08-30,3834.270,3854.710,3827.860,3834.300,141352857.000,
2017-08-31,3835.840,3840.200,3800.890,3822.090,132944935.000,
2017-09-01,3825.340,3843.620,3818.160,3830.540,158645511.000,
2017-09-04,3828.540,3847.090,3813.550,3845.620,149566320.000,
2017-09-05,3845.550,3865.290,3841.950,3857.050,124964155.000,
2017-09-06,3846.750,3858.250,3831.380,3849.450,131398723.000,
2017-09-07,3851.690,3858.160,3828.830,3829.870,123884181.000,
2017-09-08,3830.070,3843.020,3813.980,3825.990,106036504.000,
2017-09-11,3828.340,3850.740,3817.510,3825.650,123883997.000,
2017-09-12,3832.240,3849.390,3822.000,3837.930,144190242.000,
2017-09-13,3835.550,3847.780,3822.940,3842.610,95410785.000,
2017-09-14,3843.570,3854.490,3820.090,3829.960,115358583.000,
2017-09-15,3826.140,3843.300,3818.520,3831.300,122427006.000,
2017-09-18,3832.960,3862.360,3832.960,3843.140,117934405.000,
2017-09-19,3849.880,3857.300,3820.290,3832.120,112432987.000,
2017-09-20,3830.150,3850.940,3827.890,3842.440,101129542.000,
2017-09-21,3843.260,3860.800,3837.380,3837.820,111098192.000,
2017-09-22,3826.460,3842.250,3816.820,3837.730,100619802.000,
2017-09-25,3829.220,3835.390,3811.120,3817.790,103948976.000,
2017-09-26,3810.330,3821.690,3808.380,3820.780,81869407.000,
2017-09-27,3818.960,3832.570,3818.810,3821.200,85655811.000,
2017-09-28,3821.590,3827.330,3813.750,3822.540,93544069.000,
2017-09-29,3825.200,3852.220,3825.200,3836.500,93306028.000,
2017-10-09,3910.110,3918.840,3876.030,3882.210,135535851.000,
2017-10-10,3883.000,3900.740,3855.470,3889.860,112532586.000,
2017-10-11,3886.820,3913.070,3885.500,3902.690,104418151.000,
2017-10-12,3902.020,3917.440,3897.550,3912.950,94340921.000,
2017-10-13,3912.980,3927.170,3908.890,3921.000,90142068.000,
2017-10-16,3926.280,3947.420,3913.320,3913.450,121355033.000,
2017-10-17,3910.790,3924.610,3900.480,3913.070,82241227.000,
2017-10-18,3914.820,3944.410,3914.820,3944.160,100969841.000,
2017-10-19,3940.580,3944.030,3923.650,3931.250,106527252.000,
2017-10-20,3918.530,3928.960,3910.200,3926.850,72980180.000,
2017-10-23,3930.890,3936.270,3920.660,3930.800,81484980.000,
2017-10-24,3926.230,3959.500,3922.030,3959.400,93058154.000,
2017-10-25,3958.170,3978.090,3954.000,3976.950,88205458.000,
2017-10-26,3980.050,4013.600,3973.550,3993.580,129895465.000,
2017-10-27,3992.550,4024.460,3991.350,4021.970,126672846.000,
2017-10-30,4022.160,4033.340,3960.270,4009.720,157387603.000,
2017-10-31,3995.390,4009.280,3983.260,4006.720,109178779.000,
2017-11-01,4007.910,4032.460,3991.320,3996.620,130417380.000,
2017-11-02,3994.090,3999.230,3971.380,3997.130,126100579.000,
2017-11-03,3992.350,3999.340,3963.030,3992.700,129404439.000,
2017-11-06,3989.180,4021.640,3975.410,4020.890,122081159.000,
2017-11-07,4022.400,4064.220,4021.360,4054.250,152116663.000,
2017-11-08,4051.490,4089.150,4040.580,4048.010,150827719.000,
2017-11-09,4043.070,4076.610,4038.400,4075.900,121056335.000,
2017-11-10,4070.280,4116.710,4067.660,4111.910,141817165.000,
2017-11-13,4115.550,4137.650,4115.550,4128.070,151446309.000,
2017-11-14,4129.270,4133.550,4086.890,4099.350,143236936.000,
2017-11-15,4084.210,4102.810,4055.720,4073.670,120635696.000,
2017-11-16,4063.490,4107.620,4062.270,4105.010,121384414.000,
2017-11-17,4094.080,4122.380,4081.370,4120.850,191784119.000,
2017-11-20,4093.730,4144.510,4060.960,4143.830,137447258.000,
2017-11-21,4131.850,4220.260,4129.980,4217.700,180350821.000,
2017-11-22,4228.370,4260.640,4191.150,4227.570,186477003.000,
2017-11-23,4213.380,4214.190,4086.900,4102.400,178147228.000,
2017-11-24,4089.470,4116.590,4057.490,4104.200,130858040.000,
2017-11-27,4088.930,4088.930,4037.150,4049.950,143455268.000,
2017-11-28,4034.210,4056.480,4010.300,4055.820,102058095.000,
2017-11-29,4061.350,4069.240,4004.690,4053.750,124553642.000,
2017-11-30,4034.010,4052.800,3988.000,4006.100,107983345.000,
2017-12-01,4003.560,4027.110,3984.380,3998.140,97386913.000,
2017-12-04,3989.050,4032.990,3982.320,4018.860,102647219.000,
2017-12-05,4007.940,4045.930,4006.540,4040.170,154087076.000,
2017-12-06,4027.120,4031.750,3964.810,4015.820,109286205.000,
2017-12-07,4003.580,4017.950,3955.990,3971.060,90254045.000,
2017-12-08,3962.830,4014.140,3955.440,4003.380,89282861.000,
2017-12-11,4006.880,4069.500,4005.270,4069.500,97148946.000,
2017-12-12,4068.510,4070.150,4015.450,4016.020,84338718.000,
2017-12-13,4013.830,4052.690,4004.740,4050.090,77546131.000,
2017-12-14,4050.900,4057.620,4013.850,4026.150,80768862.000,
2017-12-15,4018.730,4020.270,3974.930,3980.860,89044389.000,
2017-12-18,3983.300,4008.070,3967.930,3985.290,77853375.000,
2017-12-19,3985.820,4035.630,3985.820,4035.330,77528985.000,
2017-12-20,4036.020,4044.850,4015.630,4030.490,90604503.000,
2017-12-21,4023.080,4080.780,4014.650,4067.850,96836089.000,
2017-12-22,4064.910,4076.800,4048.490,4054.600,73473684.000,
2017-12-25,4057.420,4086.930,4026.450,4041.540,91926962.000,
2017-12-26,4040.620,4056.860,4015.300,4053.620,91118790.000,
2017-12-27,4045.280,4047.740,3986.740,3991.210,105153577.000,
2017-12-28,3993.000,4036.700,3980.240,4018.900,118542886.000,
2017-12-29,4022.880,4043.140,4012.880,4030.850,90486683.000,
2018-01-02,4045.210,4087.780,4045.210,4087.400,146935435.000,
2018-01-03,4091.460,4140.050,4088.730,4111.390,151852218.000,
2018-01-04,4114.120,4137.640,4105.890,4128.810,134543794.000,
2018-01-05,4133.340,4151.280,4123.280,4138.750,149009872.000,
2018-01-08,4140.850,4166.320,4127.310,4160.160,173877666.000,
2018-01-09,4157.540,4191.280,4153.500,4189.300,139034294.000,
2018-01-10,4187.200,4211.050,4175.140,4207.810,151121666.000,
2018-01-11,4197.110,4211.800,4181.960,4205.590,121578539.000,
2018-01-12,4205.140,4227.390,4199.020,4225.000,111354794.000,
2018-01-15,4229.840,4262.930,4216.360,4225.240,170907897.000,
2018-01-16,4215.620,4260.210,4213.130,4258.470,161494963.000,
2018-01-17,4261.780,4283.340,4230.540,4248.120,214311032.000,
2018-01-18,4259.380,4292.640,4246.680,4271.420,172032846.000,
2018-01-19,4281.940,4316.570,4269.620,4285.400,209490570.000,
2018-01-22,4276.480,4338.480,4275.900,4336.600,174643195.000,
2018-01-23,4346.890,4383.570,4346.790,4382.610,201867585.000,
2018-01-24,4389.450,4397.820,4349.090,4389.890,219818889.000,
2018-01-25,4381.980,4392.200,4336.240,4365.080,195374950.000,
2018-01-26,4352.220,4403.340,4351.490,4381.300,177227237.000,
2018-01-29,4387.060,4395.910,4287.110,4302.020,191100354.000,
2018-01-30,4286.680,4308.510,4251.570,4256.100,139034730.000,
2018-01-31,4234.110,4287.860,4232.770,4275.900,145210164.000,
2018-02-01,4276.340,4287.390,4214.290,4245.900,190002934.000,
2018-02-02,4213.940,4271.760,4181.780,4271.230,146066827.000,
2018-02-05,4204.460,4274.150,4200.140,4274.150,161347799.000,
2018-02-06,4182.330,4211.520,4131.560,4148.890,214910450.000,
2018-02-07,4205.740,4212.570,4048.420,4050.500,203127493.000,
2018-02-08,4022.880,4071.670,3974.680,4012.050,159269985.000,
2018-02-09,3896.170,3911.290,3759.150,3840.650,206349828.000,
2018-02-12,3846.270,3907.840,3828.070,3890.100,116182637.000,
2018-02-13,3925.600,3986.980,3925.600,3935.630,112565885.000,
2018-02-14,3945.090,3971.400,3923.130,3966.960,71081338.000,
2018-02-22,4020.970,4058.790,4009.920,4052.730,105811571.000,
2018-02-23,4061.750,4085.200,4035.230,4071.090,99458746.000,
2018-02-26,4093.400,4128.740,4048.980,4118.420,137881001.000,
2018-02-27,4120.870,4120.870,4051.810,4058.980,125934470.000,
2018-02-28,4016.790,4051.710,3991.710,4023.640,109343593.000,
2018-03-01,3994.870,4061.030,3986.890,4049.090,110199852.000,
2018-03-02,4014.950,4044.420,4006.940,4016.460,96165000.000,
2018-03-05,4021.660,4042.830,3995.870,4018.100,87952548.000,
2018-03-06,4034.990,4067.550,3998.930,4066.560,138762444.000,
2018-03-07,4063.500,4089.700,4027.940,4036.650,106952426.000,
2018-03-08,4038.950,4078.230,4029.710,4077.600,91155810.000,
2018-03-09,4088.070,4110.670,4076.450,4108.870,113701808.000,
2018-03-12,4130.710,4139.530,4112.770,4127.670,140906739.000,
2018-03-13,4124.330,4130.280,4087.560,4091.250,111766430.000,
2018-03-14,4076.060,4089.090,4066.490,4073.340,99013409.000,
2018-03-15,4058.710,4098.990,4058.710,4096.160,88161156.000,
2018-03-16,4096.890,4110.040,4055.820,4056.420,84896188.000,
2018-03-19,4054.620,4074.520,4033.520,4074.250,81502882.000,
2018-03-20,4045.740,4080.190,4040.310,4077.700,80605280.000,
2018-03-21,4097.020,4110.120,4046.240,4061.050,97609488.000,
2018-03-22,4062.070,4072.380,4003.720,4020.350,89095259.000,
2018-03-23,3896.740,3928.510,3834.940,3904.940,180080449.000,
2018-03-26,3862.690,3883.900,3829.920,3879.890,115139128.000,
2018-03-27,3927.490,3936.780,3881.870,3913.270,113700711.000,
2018-03-28,3865.050,3907.280,3835.880,3842.720,101494908.000,
2018-03-29,3854.590,3913.960,3794.260,3894.050,116629066.000,
2018-03-30,3893.750,3915.350,3879.210,3898.500,97512270.000,
2018-04-02,3897.010,3937.020,3882.890,3886.920,111242666.000,
2018-04-03,3850.150,3878.150,3839.930,3862.480,95137369.000,
2018-04-04,3873.630,3898.610,3852.500,3854.860,88730609.000,
2018-04-09,3851.950,3870.670,3827.410,3852.930,84105462.000,
2018-04-10,3860.720,3927.420,3851.800,3927.170,106173722.000,
2018-04-11,3934.170,3958.710,3924.960,3938.340,111933021.000,
2018-04-12,3935.670,3937.780,3896.180,3898.640,82699490.000,
2018-04-13,3920.740,3929.950,3866.190,3871.140,71544203.000,
2018-04-16,3862.470,3869.160,3789.610,3808.860,99217770.000,
